channel,title,views,comments,published
https://www.youtube.com/@didirandom,🚨ATTENTION! Retail is coming back! Here's where we're getting into Bitcoin!,"2,774 views",N/A,5 days ago
https://www.youtube.com/@didirandom,🚨 Everyone is scared… Bitcoin could explode right now!,"1,915 views",N/A,6 days ago
https://www.youtube.com/@didirandom,"BITCOIN SURPRISES EVERYONE! 🤯 Despite the conflict, the market is booming!","2,734 views",N/A,7 days ago
https://www.youtube.com/@didirandom,DIE SHORTS WERDEN RASIERT! (BITCOIN UPDATE! 🚨),"2,277 views",N/A,8 days ago
https://www.youtube.com/@Smart_Money_Crypto,Setting up a trading bot for stocks - Strategy (MSTR) automated trading (2026),806 views,N/A,1 month ago
https://www.youtube.com/@Smart_Money_Crypto,I ran a trading bot for 163 days (my honest conclusion),"1,229 views",N/A,1 month ago
https://www.youtube.com/@Smart_Money_Crypto,"⚠️ BITCOIN OVER $96,000 → SMART MONEY RANGE HIT! WHAT'S NEXT!","1,831 views",N/A,1 month ago
https://www.youtube.com/@Smart_Money_Crypto,"New law DAC 8: From 2026, the tax office will know EVERYTHING about your cryptocurrencies.","3,028 views",N/A,2 months ago
https://www.youtube.com/@Smart_Money_Crypto,Which Grid Bot is best for beginners? | Long-term trading with Coin-M on Pionex,"1,768 views",N/A,2 months ago
https://www.youtube.com/@Smart_Money_Crypto,⚠️ CAPITAL PRESERVATION: BITCOIN AT A TIP POINT – NOW IT GETS DANGEROUS!,"2,282 views",N/A,2 months ago
https://www.youtube.com/@Smart_Money_Crypto,🩸 BITCOIN PREDICTION: It's going to get worse… but I'm BUYING!,"1,694 views",N/A,3 months ago
https://www.youtube.com/@Smart_Money_Crypto,"☠️ 🩸 BITCOIN CRASH BELOW $86,000! – THIS IS THE REASON ‼️","5,497 views",N/A,3 months ago
https://www.youtube.com/@Smart_Money_Crypto,🚨 BITCOIN FLOOR? My Q4 PRICE TARGET! – Now it gets crucial!,"1,963 views",N/A,3 months ago
https://www.youtube.com/@Smart_Money_Crypto,$300 in 8 days?! My real result with Trading Grid bots! (Experience),863 views,N/A,4 months ago
https://www.youtube.com/@deckercapitalofficial/videos,The unexpected is happening NOW | New direction for Bitcoin & Crypto,"3,457 views",N/A,1 day ago
https://www.youtube.com/@deckercapitalofficial/videos,"Der Mentor hinter Trading-Weltmeistern enthüllt, was wirklich funktioniert | Tom Vorwald packt aus","9,951 views",N/A,3 days ago
https://www.youtube.com/@deckercapitalofficial/videos,Warning: Bitcoin is now being manipulated | My crypto trades and breaking forecast,"3,181 views",N/A,4 days ago
https://www.youtube.com/@deckercapitalofficial/videos,Horrifying prospects | How far Bitcoin will rise before the crypto shock,"4,368 views",N/A,6 days ago
https://www.youtube.com/@deckercapitalofficial/videos,New crypto outlook is shocking | This Bitcoin forecast is something else....,"3,810 views",N/A,8 days ago
https://www.youtube.com/@deckercapitalofficial/videos,NOW the market is turning: These crypto price targets will completely change Bitcoin in Q1,"3,051 views",N/A,11 days ago
https://www.youtube.com/@deckercapitalofficial/videos,NOW or NEVER: Bitcoin faces its most important phase of the year | NEW Crypto Forecast,"3,308 views",N/A,13 days ago
https://www.youtube.com/@deckercapitalofficial/videos,Shocking Crypto Turnaround & Trump Escalation | My New Bitcoin Price Targets and Forecast,"3,803 views",N/A,2 weeks ago
https://www.youtube.com/@deckercapitalofficial/videos,Bitcoin forecast causes panic 🚨 New data shakes the market | My next trades,"3,968 views",N/A,2 weeks ago
https://www.youtube.com/@deckercapitalofficial/videos,ATTENTION: Here comes the crypto revolution | These are the price targets,"3,413 views",N/A,2 weeks ago
